NAME,RESTAURANT NAME,CALORIES,CATEGORY,PRICE ,ALLERGENS 1,ALLERGENS 2,ALLERGENS 3,ALLERGENS 4,ALLERGENS 5,ALLERGENS 6,ALLERGENS 7,ALLERGENS 8,ALLERGENS 9,ALLERGENS 10,SIMPLE NAME 1,SIMPLE NAME 2,SIMPLE NAME 3,,
ASPARAGUS & PEA SOUP (SMALL),AU BON PAIN,190,MEAL,, MILK, SOY, WHEAT,,,,,,,,SOUP,SOUP,SOUP,,
AVOCADO BACON CLUB,SMASHBURGER,620,MEAL,EGG,MILK,TREE NUT,WHEAT,SOY,,,,,,,BURGER,SANDWICH,BACON,,
AVOCADO BLT (HALF SANDWICH),AU BON PAIN,260,MEAL,, EGGS, SOY, WHEAT,,,,,,,,SANDWICH,SANDWICH,SANDWICH,,
AVOCADO BLT (WHOLE SANDWICH),AU BON PAIN,520,MEAL,, EGGS, SOY, WHEAT,,,,,,,,SANDWICH,SANDWICH,SANDWICH,,
AVOCADO SMOOTHIE BOWL ,ROHRS,,MEAL,,,,,,,,,,,,SMOOTHIE,BERRY,AVOCADO,,
AVOCADO SPREAD,STARBUCKS,90,MEAL,,,,,,,,,,,,SANDWICH,AVOCADO,AVOCADO,,
AVOCADO SPREAD,STARBUCKS,90,MEAL,,,,,,,,,,,,SANDWICH,SANDWICH,SANDWICH,,
AVOCADO TOAST ,ROHRS,,MEAL,,,,,,,,,,,,AVOCADO,SANDWICH,TOMATO,,
BACON & CHEDDAR KOLACHE,AU BON PAIN,350,MEAL,, EGGS, MILK, SOY, WHEAT,,,,,,,SANDWICH,SANDWICH,BACON,,
BACON CORN PIZZA - HALF,MODERN MARKET,575,MEAL,,,,,,,,,,,,PIZZA,BACON,CORN,,
BACON CORN PIZZA - WHOLE,MODERN MARKET,1150,MEAL,,,,,,,,,,,,PIZZA,BACON,CORN,,
BACON SMASH,SMASHBURGER,620,MEAL,EGG,MILK,TREE NUT,WHEAT,SOY,,,,,,,BURGER,SANDWICH,BACON,,
BACON WRAPPED DATES,STARBUCKS,270,MEAL,,,,,,,,,,,,BACON,BACON,BACON,,
BACON  EGG & CHEESE FLATBREAD (6-INCH),SUBWAY,450,MEAL,,WHEAT,GLUTEN,SOYBEANS,MILK,EGG,EGG,MILK,,,,SANDWICH,BACON,EGGS,,
BACON  EGG & CHEESE FLATBREAD (FOOTLONG),SUBWAY,900,MEAL,,WHEAT,GLUTEN,SOYBEANS,MILK,EGG,EGG,MILK,,,,SANDWICH,BACON,EGGS,,
BACON  GOUDA & EGG BREAKFAST SANDWICH,STARBUCKS,370,MEAL,,,,,,,,,,,,SANDWICH,EGG,BACON,,
BACON  LETTUCE  TOMATOES (6-INCH),SUBWAY,340,MEAL,,WHEAT,GLUTEN,SOYBEANS,NITRITES,,,,,,,SANDWICH,BACON,BACON,,
BACON  LETTUCE  TOMATOES (FOOTLONG),SUBWAY,680,MEAL,,WHEAT,GLUTEN,SOYBEANS,NITRITES,,,,,,,SANDWICH,BACON,BACON,,
BAGEL SANDWHICH,CHARRON FAMILY,,MEAL,,,,,,,,,,,,SANDWICH,PASTRY,PASTRY,,
BAJA SHRIMP TACOS,LEGENDS,,MEAL,,,,,,,,,,,,TACOS,SHRIMP,SHRIMP,,
BAKED GOODS,MCCOURTNEY EXPRESSO CART,,SNACK,,,,,,,,,,,,PASTRY,PASTRY,PASTRY,,
BAKED STUFFED POTATO SOUP (LARGE),AU BON PAIN,510,MEAL,, MILK, SOY, WHEAT,,,,,,,,SOUP,SOUP,SOUP,,
BAKED STUFFED POTATO SOUP (MEDIUM),AU BON PAIN,390,MEAL,, MILK, SOY, WHEAT,,,,,,,,SOUP,SOUP,SOUP,,
BAKED STUFFED POTATO SOUP (SMALL),AU BON PAIN,260,MEAL,, MILK, SOY, WHEAT,,,,,,,,SOUP,SOUP,SOUP,,
BAKED WINGS,TACO BELL PIZZA HUT,,MEAL,,,,,,,,,,,,CHICKEN,CHICKEN,CHICKEN,,
BAKED! LAY S  O ORIGINAL POTATO CRISPS,AU BON PAIN,130,SNACK,, SOY,,,,,,,,,,CHIPS,CHIPS,CHIPS,,
Baklava,GARBANZO ,,MEAL,,,,,,,,,,,,PASTRY,PASTRY,PASTRY,,
BANANA,MODERN MARKET,,SNACK,,,,,,,,,,,,BANANA,BANANA,BANANA,,
BANANA NUT BREAD,STARBUCKS,420,SNACK,,,,,,,,,,,,SNACK,BANANA,BANANA,,
BANANA NUT BREAD LOAF,STARBUCKS,420,SNACK,,,,,,,,,,,,PASTRY,BANANA,BANANA,,
BANANAS FOSTER CHEESECAKE,LEGENDS,,MEAL,,, ,,,,,,,,,CAKE,BANANAS,BANANAS,,
BANGIN BERRY,HAGERTY FAMILY CAFE,,BEVERAGE,,,,,,,,,,,,SMOOTHIES,BANANAS,BLUEBERRY,,
BARGETTO WINERY,LEGENDS,,BEVERAGE,,,,,,,,,,,,ALCOHOL,ALCOHOL,ALCOHOL,,
BASIL CHICKEN SANDWHICH,MODERN MARKET,543,MEAL,,,,,,,,,,,,SANDWICH,CHICKEN,CHICKEN,,
BAVARIAN PRETZEL,PIZZA PI,,MEAL,,,,,,,,,,,,BREAD,BREAD,BREAD,,
BBQ BACON CHEDDAR MAC & CHEESE,PIZZA PI,,MEAL,,,,,,,,,,,,PIZZA,BACON,PASTA,,
BBQ BACON MAC & CHEESE,PIZZA PI,,MEAL,,,,,,,,,,,,PIZZA,BACON,PASTA,,
BBQ BACON SMASH,SMASHBURGER,750,MEAL,EGG,MILK,TREE NUT,WHEAT,SOY,,,,,,,BURGER,SANDWICH,BACON,,
BBQ PIZZA - HALF,MODERN MARKET,475,MEAL,,,,,,,,,,,,PIZZA,CHICKEN,CHEESE,,
BBQ PIZZA - WHOLE,MODERN MARKET,950,MEAL,,,,,,,,,,,,PIZZA,CHICKEN,CHEESE,,
BBQ PORK,AU BON PAIN,45,MEAL,, SOY,,,,,,,,,,PORK,PORK,PORK,,
BBQ RANCH SALAD (NO DRESSING  NO PROTEIN OPTION),SMASHBURGER,510,MEAL,EGG,MILK,WHEAT,SOY,,,,,,,,SALAD,SALAD,SALAD,,
BEAN BURRITO,TACO BELL PIZZA HUT,350,MEAL,,,,,,,,,,,,BURRITO,BEAN,CHEESE,,
BEEF & VEGETABLE STEW (LARGE),AU BON PAIN,450,MEAL,, MILK, SOY, WHEAT, SULFITES,,,,,,,SOUP,BEEF,BEEF,,
BEEF & VEGETABLE STEW (MEDIUM),AU BON PAIN,340,MEAL,, MILK, SOY, WHEAT, SULFITES,,,,,,,SOUP,BEEF,BEEF,,
BEEF & VEGETABLE STEW (SMALL),AU BON PAIN,230,MEAL,, MILK, SOY, WHEAT, SULFITES,,,,,,,SOUP,BEEF,BEEF,,
BEEF BARLEY SOUP,CROSSINGS,,MEAL,,,,,,,,,,,,SOUP,BEEF,BEEF,,
BEEF FLATBREAD ,ROHRS,,MEAL,,,,,,,,,,,,SANDWICH,BEEF,CHEESE,,
BEEFY 5 LAYER BURRITO,TACO BELL PIZZA HUT,500,MEAL,,,,,,,,,,,,BURRITO,BEAN,RICE,,
BEEFY FRITOS BURITO,TACO BELL PIZZA HUT,440,MEAL,,,,,,,,,,,,BURRITO,BEEF,CHIPS,,
BEEFY NACHO GRILLER,TACO BELL PIZZA HUT,370,MEAL,,,,,,,,,,,,NACHO,BEEF,CHEESE,,
BEEFY NACHO GRILLER,TACO BELL PIZZA HUT,,MEAL,,,,,,,,,,,,NACHO,BEEF,CHEESE,,
BELGIUM WAFFLE ,ROHRS,,MEAL,,,,,,,,,,,,PANCAKE,STRAWBERRY,STRAWBERRY,,
